auprc,class,fn,fp,image_auroc,latency_sec,model,pixel_auroc,pro,run_id,run_path,threshold,tn,tp
0.051185,bottle,34.0,2.0,0.684524,0.005695,ae,0.3202,0.021087,latest,/workspace/defect-detection/runs/ae/bottle/latest,2.429927,18.0,29.0
0.071822,cable,0.0,58.0,0.476481,0.003428,ae,0.719688,0.179868,latest,/workspace/defect-detection/runs/ae/cable/latest,2.016749,0.0,92.0
0.004144,screw,108.0,0.0,0.299754,0.003423,ae,0.414373,0.035124,latest,/workspace/defect-detection/runs/ae/screw/latest,1.48324,41.0,11.0
0.008349,toothbrush,21.0,0.0,0.455556,0.00911,ae,0.117681,6.4e-05,latest,/workspace/defect-detection/runs/ae/toothbrush/latest,2.047559,12.0,9.0
0.06934,transistor,0.0,60.0,0.411458,0.004966,ae,0.60565,0.077294,latest,/workspace/defect-detection/runs/ae/transistor/latest,1.541018,0.0,40.0
0.026261,zipper,21.0,15.0,0.711397,0.003285,ae,0.502557,0.035715,latest,/workspace/defect-detection/runs/ae/zipper/latest,1.912378,17.0,98.0
0.166848,bottle,19.0,0.0,0.868254,0.012761,padim,0.703967,0.072091,latest,/workspace/defect-detection/runs/padim/bottle/latest,5230.293567,20.0,44.0
0.044624,cable,77.0,0.0,0.528673,0.008997,padim,0.643618,0.046563,latest,/workspace/defect-detection/runs/padim/cable/latest,7079.35164,58.0,15.0
0.013422,screw,10.0,3.0,0.950195,0.008148,padim,0.894529,0.1516,latest,/workspace/defect-detection/runs/padim/screw/latest,3274.161346,38.0,109.0
0.181289,toothbrush,4.0,2.0,0.891667,0.01384,padim,0.943486,0.130604,latest,/workspace/defect-detection/runs/padim/toothbrush/latest,2878.124117,10.0,26.0
0.159622,transistor,32.0,1.0,0.584583,0.010887,padim,0.761974,0.04234,latest,/workspace/defect-detection/runs/padim/transistor/latest,4627.937412,59.0,8.0
0.040281,zipper,31.0,11.0,0.697216,0.008453,padim,0.69067,0.051429,latest,/workspace/defect-detection/runs/padim/zipper/latest,3859.396641,21.0,88.0
0.413525,bottle,7.0,1.0,0.946825,3.243328,patchcore,0.920812,0.093392,latest,/workspace/defect-detection/runs/patchcore/bottle/latest,24.209878,19.0,56.0
0.179368,cable,48.0,9.0,0.682721,2.908203,patchcore,0.889335,0.171781,latest,/workspace/defect-detection/runs/patchcore/cable/latest,69.406034,49.0,44.0
0.009548,screw,0.0,41.0,0.159459,4.064913,patchcore,0.862605,0.123346,latest,/workspace/defect-detection/runs/patchcore/screw/latest,23.348976,0.0,119.0
0.321942,toothbrush,2.0,0.0,0.988889,0.902911,patchcore,0.95448,0.279256,latest,/workspace/defect-detection/runs/patchcore/toothbrush/latest,20.174141,12.0,28.0
0.593038,transistor,8.0,13.0,0.847917,2.842507,patchcore,0.963649,0.138106,latest,/workspace/defect-detection/runs/patchcore/transistor/latest,34.897563,47.0,32.0
0.138084,zipper,10.0,9.0,0.847952,2.806248,patchcore,0.886761,0.164033,latest,/workspace/defect-detection/runs/patchcore/zipper/latest,18.286024,23.0,109.0
0.118905,bottle,43.0,0.0,0.634127,0.015692,fastflow,0.424192,0.005211,latest,/workspace/defect-detection/runs/fastflow/bottle/latest,49457.246108,20.0,20.0
0.054632,cable,64.0,7.0,0.536732,0.010942,fastflow,0.701206,0.001961,latest,/workspace/defect-detection/runs/fastflow/cable/latest,71275.152251,51.0,28.0
0.028365,screw,12.0,17.0,0.807543,0.01,fastflow,0.941304,0.053482,latest,/workspace/defect-detection/runs/fastflow/screw/latest,10277.714257,24.0,107.0
0.09448,toothbrush,26.0,0.0,0.486111,0.021912,fastflow,0.852112,0.086336,latest,/workspace/defect-detection/runs/fastflow/toothbrush/latest,10370.563859,12.0,4.0
0.082213,transistor,36.0,1.0,0.411667,0.013623,fastflow,0.559774,0.001465,latest,/workspace/defect-detection/runs/fastflow/transistor/latest,947768.374215,59.0,4.0
0.040482,zipper,110.0,0.0,0.595063,0.010824,fastflow,0.517666,0.001242,latest,/workspace/defect-detection/runs/fastflow/zipper/latest,25898.516405,32.0,9.0
